Zip Code,Total
ZCTA5 46614,29917
ZCTA5 46615,14777
ZCTA5 46616,6167
ZCTA5 46617,9813
ZCTA5 46619,20527
ZCTA5 46624,38
ZCTA5 46628,27011
ZCTA5 46635,6420
ZCTA5 46637,15887
ZCTA5 46701,7687
ZCTA5 46702,2172
ZCTA5 46703,18837
ZCTA5 46704,119
ZCTA5 46705,1716
ZCTA5 46706,19995
ZCTA5 46710,4649
ZCTA5 46711,8022
ZCTA5 46714,15411
ZCTA5 46721,4907
ZCTA5 46723,7383
ZCTA5 46725,23917
ZCTA5 46730,1316
ZCTA5 46731,578
ZCTA5 46732,2949
ZCTA5 46733,18669
ZCTA5 46737,6898
ZCTA5 46738,8183
ZCTA5 46740,4608
ZCTA5 46741,4657
ZCTA5 46742,3259
ZCTA5 46743,2309
ZCTA5 46745,1792
ZCTA5 46746,4003
ZCTA5 46747,2743
ZCTA5 46748,7203
ZCTA5 46750,26580
ZCTA5 46755,15721
ZCTA5 46759,508
ZCTA5 46760,1264
ZCTA5 46761,12902
ZCTA5 46763,1702
ZCTA5 46764,1379
ZCTA5 46765,5580
ZCTA5 46766,545
ZCTA5 46767,8599
ZCTA5 46770,2734
ZCTA5 46771,54
ZCTA5 46772,3929
ZCTA5 46773,3685
ZCTA5 46774,17341
ZCTA5 46776,1528
ZCTA5 46777,6348
ZCTA5 46778,196
ZCTA5 46779,2006
ZCTA5 46781,789
ZCTA5 46783,7521
ZCTA5 46784,2211
ZCTA5 46785,1650
ZCTA5 46786,82
ZCTA5 46787,3902
ZCTA5 46788,3396
ZCTA5 46789,80
ZCTA5 46791,922
ZCTA5 46792,3673
ZCTA5 46793,4043
ZCTA5 46794,1406
ZCTA5 46795,6190
ZCTA5 46796,57
ZCTA5 46797,4008
ZCTA5 46798,1290
ZCTA5 46799,448
ZCTA5 46802,10664
ZCTA5 46803,9686
ZCTA5 46804,28800
ZCTA5 46805,21138
ZCTA5 46806,26083
ZCTA5 46807,16489
ZCTA5 46808,19894
ZCTA5 46809,8946
ZCTA5 46814,16377
ZCTA5 46815,27927
ZCTA5 46816,19012
ZCTA5 46818,22071
ZCTA5 46819,8969
ZCTA5 46825,29062
ZCTA5 46835,36653
ZCTA5 46845,28380
ZCTA5 46901,38072
ZCTA5 46902,36038
ZCTA5 46910,3283
ZCTA5 46911,1396
ZCTA5 46913,1400
ZCTA5 46914,4785
ZCTA5 46915,617
ZCTA5 46917,1734
ZCTA5 46919,2202
ZCTA5 46920,1131
ZCTA5 46922,32
ZCTA5 46923,8162
ZCTA5 46926,1639
ZCTA5 46928,4557
ZCTA5 46929,3210
ZCTA5 46930,268
ZCTA5 46931,286
ZCTA5 46932,3254
ZCTA5 46933,6617
ZCTA5 46936,5800
ZCTA5 46937,114
ZCTA5 46938,2824
ZCTA5 46939,1917
ZCTA5 46940,2538
ZCTA5 46941,1123
ZCTA5 46943,250
ZCTA5 46945,15
ZCTA5 46946,132
ZCTA5 46947,28295
ZCTA5 46950,615
ZCTA5 46951,2118
ZCTA5 46952,18996
ZCTA5 46953,22781
ZCTA5 46957,483
ZCTA5 46958,542
ZCTA5 46959,148
ZCTA5 46960,1102
ZCTA5 46961,97
ZCTA5 46962,8592
ZCTA5 46965,111
ZCTA5 46967,73
ZCTA5 46968,132
ZCTA5 46970,23317
ZCTA5 46971,0
ZCTA5 46974,1620
ZCTA5 46975,14288
ZCTA5 46978,2018
ZCTA5 46979,4893
ZCTA5 46980,53
ZCTA5 46982,2602
ZCTA5 46984,61
ZCTA5 46985,1285
ZCTA5 46986,1769
ZCTA5 46987,1010
ZCTA5 46988,721
ZCTA5 46989,5028
ZCTA5 46990,805
ZCTA5 46991,1706
ZCTA5 46992,16183
ZCTA5 46994,2626
ZCTA5 46996,6830
ZCTA5 46998,129
ZCTA5 47001,10208
ZCTA5 47003,958
ZCTA5 47006,12761
ZCTA5 47010,304
ZCTA5 47011,1003
ZCTA5 47012,9994
ZCTA5 47016,742
ZCTA5 47017,657
ZCTA5 47018,4273
ZCTA5 47020,1004
ZCTA5 47021,12
ZCTA5 47022,3192
ZCTA5 47023,1711
ZCTA5 47024,2880
ZCTA5 47025,23118
ZCTA5 47030,1504
ZCTA5 47031,5200
ZCTA5 47032,3477
ZCTA5 47033,6
ZCTA5 47034,172
ZCTA5 47035,272
ZCTA5 47036,1002
ZCTA5 47037,4167
ZCTA5 47038,1168
ZCTA5 47040,5288
ZCTA5 47041,5891
ZCTA5 47042,4375
ZCTA5 47043,5102
ZCTA5 47060,7109
ZCTA5 47102,6884
ZCTA5 47104,93
ZCTA5 47106,4771
ZCTA5 47108,2218
ZCTA5 47110,469
ZCTA5 47111,16972
ZCTA5 47112,17404
ZCTA5 47114,422
ZCTA5 47115,2579
ZCTA5 47116,698
ZCTA5 47117,4304
ZCTA5 47118,3253
ZCTA5 47119,12173
ZCTA5 47120,938
ZCTA5 47122,11185
ZCTA5 47123,131
ZCTA5 47124,4981
ZCTA5 47125,1714
ZCTA5 47126,4555
ZCTA5 47129,19739
ZCTA5 47130,48481
ZCTA5 47135,1271
ZCTA5 47136,4699
ZCTA5 47137,1300
ZCTA5 47138,4398
ZCTA5 47140,2811
ZCTA5 47141,1563
ZCTA5 47142,861
ZCTA5 47143,3800
ZCTA5 47145,1908
ZCTA5 47147,1022
ZCTA5 47150,49395
ZCTA5 47160,138
ZCTA5 47161,3764
ZCTA5 47162,906
ZCTA5 47163,1551
ZCTA5 47164,3609
ZCTA5 47165,6208
ZCTA5 47166,1276
ZCTA5 47167,15683
ZCTA5 47170,14877
ZCTA5 47172,19821
ZCTA5 47174,124
ZCTA5 47175,870
ZCTA5 47177,1462
ZCTA5 47201,45969
ZCTA5 47203,27006
ZCTA5 47220,5737
ZCTA5 47223,1437
ZCTA5 47224,606
ZCTA5 47225,65
ZCTA5 47226,205
ZCTA5 47227,1545
ZCTA5 47229,3186
ZCTA5 47230,2057
ZCTA5 47231,1091
ZCTA5 47232,2460
ZCTA5 47234,1428
ZCTA5 47235,1780
ZCTA5 47236,131
ZCTA5 47240,21940
ZCTA5 47243,6037
ZCTA5 47244,688
ZCTA5 47246,4343
ZCTA5 47247,178
ZCTA5 47250,22596
ZCTA5 47260,1733
ZCTA5 47263,174
ZCTA5 47264,1302
ZCTA5 47265,20074
ZCTA5 47270,758
ZCTA5 47272,1852
ZCTA5 47273,1917
ZCTA5 47274,33035
ZCTA5 47280,867
ZCTA5 47281,1543
ZCTA5 47282,236
ZCTA5 47283,3526
ZCTA5 47302,25704
ZCTA5 47303,24069
ZCTA5 47304,30366
ZCTA5 47305,3629
ZCTA5 47306,4628
ZCTA5 47320,3978
ZCTA5 47324,150
ZCTA5 47325,571
ZCTA5 47326,2321
ZCTA5 47327,4345
ZCTA5 47330,5523
ZCTA5 47331,22782
ZCTA5 47334,3171
ZCTA5 47335,610
ZCTA5 47336,3455
ZCTA5 47337,182
ZCTA5 47338,2680
ZCTA5 47339,641
ZCTA5 47340,2744
ZCTA5 47341,2191
ZCTA5 47342,2533
ZCTA5 47344,123
ZCTA5 47345,1378
ZCTA5 47346,3865
ZCTA5 47348,9507
ZCTA5 47351,429
ZCTA5 47352,902
ZCTA5 47353,5576
ZCTA5 47354,1072
ZCTA5 47355,2546
ZCTA5 47356,5831
ZCTA5 47357,1107
ZCTA5 47358,919
ZCTA5 47359,2744
ZCTA5 47360,1451
ZCTA5 47361,134
ZCTA5 47362,30184
ZCTA5 47366,57
ZCTA5 47367,98
ZCTA5 47368,2637
ZCTA5 47369,1216
ZCTA5 47370,158
ZCTA5 47371,12143
