GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N,
Geography,Geographic Area Name, !!Total:, !!Total:!!Urban, !!Total:!!Rural, !!Total:!!Not defined for this file,Predominant Type
860Z200US46173,ZCTA5 46173,10591,6469,4122,0,Urban
860Z200US46175,ZCTA5 46175,549,0,549,0,Rural
860Z200US46176,ZCTA5 46176,28401,21208,7193,0,Urban
860Z200US46180,ZCTA5 46180,993,0,993,0,Rural
860Z200US46181,ZCTA5 46181,5280,0,5280,0,Rural
860Z200US46182,ZCTA5 46182,2005,0,2005,0,Rural
860Z200US46183,ZCTA5 46183,130,130,0,0,Urban
860Z200US46184,ZCTA5 46184,13023,11940,1083,0,Urban
860Z200US46186,ZCTA5 46186,1708,0,1708,0,Rural
860Z200US46201,ZCTA5 46201,31408,31408,0,0,Urban
860Z200US46202,ZCTA5 46202,22217,22217,0,0,Urban
860Z200US46203,ZCTA5 46203,38224,38224,0,0,Urban
860Z200US46204,ZCTA5 46204,9086,9086,0,0,Urban
860Z200US46205,ZCTA5 46205,27531,27531,0,0,Urban
860Z200US46206,ZCTA5 46206,6,6,0,0,Urban
860Z200US46208,ZCTA5 46208,23996,23996,0,0,Urban
860Z200US46214,ZCTA5 46214,26314,26314,0,0,Urban
860Z200US46216,ZCTA5 46216,2343,2343,0,0,Urban
860Z200US46217,ZCTA5 46217,34725,34289,436,0,Urban
860Z200US46218,ZCTA5 46218,30400,30400,0,0,Urban
860Z200US46219,ZCTA5 46219,36556,36556,0,0,Urban
860Z200US46220,ZCTA5 46220,36078,36078,0,0,Urban
860Z200US46221,ZCTA5 46221,27991,27082,909,0,Urban
860Z200US46222,ZCTA5 46222,37185,37185,0,0,Urban
860Z200US46224,ZCTA5 46224,38822,38822,0,0,Urban
860Z200US46225,ZCTA5 46225,6503,6503,0,0,Urban
860Z200US46226,ZCTA5 46226,43997,43997,0,0,Urban
860Z200US46227,ZCTA5 46227,62126,62126,0,0,Urban
860Z200US46228,ZCTA5 46228,15824,15824,0,0,Urban
860Z200US46229,ZCTA5 46229,29252,29239,13,0,Urban
860Z200US46231,ZCTA5 46231,10889,10867,22,0,Urban
860Z200US46234,ZCTA5 46234,27841,27835,6,0,Urban
860Z200US46235,ZCTA5 46235,34569,34569,0,0,Urban
860Z200US46236,ZCTA5 46236,27627,27627,0,0,Urban
860Z200US46237,ZCTA5 46237,44378,44378,0,0,Urban
860Z200US46239,ZCTA5 46239,33290,31528,1762,0,Urban
860Z200US46240,ZCTA5 46240,20148,20148,0,0,Urban
860Z200US46241,ZCTA5 46241,33568,33568,0,0,Urban
860Z200US46250,ZCTA5 46250,19156,19156,0,0,Urban
860Z200US46254,ZCTA5 46254,40162,40157,5,0,Urban
860Z200US46256,ZCTA5 46256,22598,22598,0,0,Urban
860Z200US46259,ZCTA5 46259,13703,9372,4331,0,Urban
860Z200US46260,ZCTA5 46260,34188,34188,0,0,Urban
860Z200US46268,ZCTA5 46268,26353,26353,0,0,Urban
860Z200US46278,ZCTA5 46278,8910,7531,1379,0,Urban
860Z200US46280,ZCTA5 46280,7870,7870,0,0,Urban
860Z200US46290,ZCTA5 46290,191,191,0,0,Urban
860Z200US46301,ZCTA5 46301,580,573,7,0,Urban
860Z200US46302,ZCTA5 46302,141,0,141,0,Rural
860Z200US46303,ZCTA5 46303,17028,14103,2925,0,Urban
860Z200US46304,ZCTA5 46304,26835,23188,3647,0,Urban
860Z200US46307,ZCTA5 46307,69248,61356,7892,0,Urban
860Z200US46310,ZCTA5 46310,14126,0,14126,0,Rural
860Z200US46311,ZCTA5 46311,22431,22199,232,0,Urban
860Z200US46312,ZCTA5 46312,26370,26370,0,0,Urban
860Z200US46319,ZCTA5 46319,18108,18108,0,0,Urban
860Z200US46320,ZCTA5 46320,14514,14514,0,0,Urban
860Z200US46321,ZCTA5 46321,23894,23894,0,0,Urban
860Z200US46322,ZCTA5 46322,23984,23984,0,0,Urban
860Z200US46323,ZCTA5 46323,22510,22510,0,0,Urban
860Z200US46324,ZCTA5 46324,22611,22611,0,0,Urban
860Z200US46327,ZCTA5 46327,11078,11078,0,0,Urban
860Z200US46340,ZCTA5 46340,1085,0,1085,0,Rural
860Z200US46341,ZCTA5 46341,10518,0,10518,0,Rural
860Z200US46342,ZCTA5 46342,32540,30284,2256,0,Urban
860Z200US46345,ZCTA5 46345,97,0,97,0,Rural
860Z200US46346,ZCTA5 46346,1317,0,1317,0,Rural
860Z200US46347,ZCTA5 46347,4800,0,4800,0,Rural
